BH,BW,RT,latency
8,8,1,8.167164611816407
8,16,1,4.421769714355468
8,32,1,2.800918388366699
8,64,1,2.9330944061279296
8,128,1,3.078156852722168
16,8,1,8.232147216796875
16,16,1,4.562102508544922
16,32,1,2.7749536514282225
16,64,1,2.9247968673706053
16,128,1,2.995363235473633
32,8,1,8.344572448730469
32,16,1,4.420640182495117
32,32,1,2.753011131286621
32,64,1,2.8409088134765623
32,128,1,2.924198341369629
64,8,1,8.27704315185547
64,16,1,4.348825454711914
64,32,1,2.731558418273926
64,64,1,2.8246944427490237
64,128,1,3.0188703536987305
128,8,1,8.223318481445313
128,16,1,4.277807998657226
128,32,16,2.7176639556884767
128,64,1,2.8792800903320312
128,128,1,3.009411239624024
